date,school,content
25-May-20,Austin,"May 21-23 commencement and graduation ceremonies are postponed.

A virtual commencement will be planned for that week. Details are forthcoming.

The future plan includes celebrating students on campus later this year for the full array of graduation and commencement ceremonies.

Commencement FAQs

Helping UT Students During the COVID-19 Crisis - from President Gregory L. Fenves

Student Emergency Fund

What you need to know when classes start - from Maurie McInnis, Executive VP and Provost  "
27-May-20,Austin,"Online Classes Grading Policies: Undergraduate students will have the option of taking all classes Pass/Fail, and graduate students will have the option of taking all classes Credit/No Credit. Students have until May 29 to make this choice.

Getting Technology Help: Please email, chat (click the Ask Bevo! pop up) and phone (512-232-6988). 

Student Emergency Services is providing technology resources for students with financial need and supporting students in need with food and housing. If you still have to retrieve belongings from a university residence hall, you can schedule a day and time here.

Learning from Home: As you study and learn from home, there are services available to assist you, including Keep Learning.

Continuing the Spring Semester Online - from President Gregory L. Fenves"
30-May-20,Austin,"Updates and resources for employees - from Darrell Bazzell, Senior VP and Chief Financial

Students: As online classes begin this week, make sure your equipment works AND you have the right apps (like @Zoom and @Panopto). Visit Canvas Online Pre-Check."
1-Apr-20,Austin,"Protect Your Zoom Meetings from Disruptions - Trice Humpert, Interim Assistant Vice President for Information Technology Services

Mid-Week Check In - from President Gregory L. Fenves

All summer session classes moved online.

Please follow all City of Austin Orders and Guidelines

There will be no tolerance for harassment and bigotry in classrooms  online or otherwise.

Any member of the UT community who disrupts or interferes with university classes or meetings will face discipline.

The university is improving security across all digital platforms.

In the first two days of online learning:

Thousands of students participated in more than 9,000 classes, logging a total of over 13 million minutes online.

Students can visit Keep Learning for remote learning tips and tech support to help them thrive."
3-Apr-20,Austin,"Faculty Resource Update - from Maurie McInnis, Executive VP and Provost"
8-Apr-20,Austin,"Faculty Update - from Maurie McInnis, Executive VP and Provost"
10-Apr-20,Austin,"Compassion in Crisis - from Maurie McInnis, Executive VP and Provost"
14-Apr-20,Austin,"Today, President Fenves and Interim President Designate Jay Hartzell sent separate letters to faculty and staff and students about financial mitigation and summer session tuition reduction.

Financial Mitigation Plans for Campus

Summer Session Tuition and Registration for Students 

UT is developing mitigation plans in anticipation of both reduced revenue for the university and increased emergency needs for students. 

Recruitment and Hiring
Faculty recruitments that are currently underway will continue.
Effective immediately, recruitment and hiring of staff members will be subject to an additional level of review. 
Student employee positions will be filled so long as they contribute to the core mission of the university and work can be conducted remotely. 
There will be no centrally funded pool for recurring merit raises, and colleges, schools and units have been directed not to fund recurring merit increases for 2020-21. 
In support of students, to ensure they remain on track to degree completion, UT will be lowering summer tuition to 50 percent of the tuition rate for fall and spring semester courses. It is normally at 85 percent of the long semester rate.

There will be 25 additional summer courses that will include 2,000 seats beyond our usual capacity. Registration will begin April 27.
The university will return to regular university grading for the summer 2020 term
Graduate and professional school tuition will remain at 85 percent of the long semester rate.
Summer orientation sessions for new students moved online."
16-Apr-20,Austin,"Faculty Affairs Update - from Tasha Beretvas, Senior Vice Provost for Faculty Affairs"
17-Apr-20,Austin,"COVID-19 staff update for April 17 - from Darrell Bazzell, Senior VP and Chief Financial Officer"
22-Apr-20,Austin,"Today, President Fenves and Interim President Designate Jay Hartzell sent a letter to campus to address plans for the fall semester.

Planning for the Fall Semester

We will continue to instruct and educate students in the fall

We hope to reopen the campus to do so, but recognize that our nation will still be facing COVID-19 and need to determine the risks and possible mitigations before doing so

Art Markman, professor of psychology and marketing, and director of the IC2 institute, will lead a university-wide task force to assess operations for the fall semester

Registration opens for summer and fall courses on April 27. Students will be able to adjust their course selections after the decision about fall is announced

A final decision about plans for the fall semester will be announced in late June"
23-Apr-20,Austin,"Faculty Affairs Update 4/23 - from Tasha Beretvas, Senior Vice Provost for Faculty Affairs"
28-Apr-20,Austin,"President Fenves and Interim President Designate Jay Hartzell sent a letter to campus to address Governor Abbotts plans to reopen Texas.

Governor Greg Abbott announced plans to begin reopening the state of Texas. On Friday, May 1, certain businesses will be allowed to open, with capacity restrictions and social distancing protocols in place

Texas Reopening Order - from President Gregory L. Fenves and Interim President Designate Jay Hartzell

Effects on UT

The executive order does not include changes describing how state agencies or public universities will be operating in the coming weeks.

We will maintain online learning and limited on-campus operations for now.

Employees who have been working remotely should continue to do so.

We are looking into whether some research laboratories can re-open this spring.

We remain focused on the health and safety of our UT community members and continue to coordinate with city, state, medical and scientific leaders.

Fall 2020

Leadership met today with members of the university-wide task force that are assessing our operations for the fall semester

The goal remains to reopen campus in the fall, likely with some courses and activities held in person and others online

Leadership will announce plans for the fall semester at the end of June

Take Care of Yourselves and Others

Continue to practice good hygiene and social distancing precautions whenever you are in public

Leadership thanks you for your resilience, commitment and adaptability in the face of such trying circumstances"
29-Apr-20,Austin,"Faculty Affairs Update 4/29 - from Tasha Beretvas, Senior Vice Provost for Faculty Affairs "
6-May-20,Austin,"Fall Planning Update - from President Gregory L. Fenves and Interim President Designate Jay Hartzell 

The university is planning for the upcoming fall semester with the goal of having in-person classes. For now, we will continue with limited on-campus operations.

University leadership team is coordinating six campus-wide working groups  Academics, Health and Wellness, Student Life, Operations, Research, and Athletics  tasked with the development of strategies for the fall semester. These will be announced by the end of June.

In consideration of health and safety, the university will need to implement new schedules, policies and approaches to many of our fall operations.

The university is currently working to reopen labs and get our faculty members back to their critical research."
7-May-20,Austin,"Faculty Affairs Update 5/7 - from Tasha Beretvas, Senior Vice Provost for Faculty Affairs"
20-May-20,Austin,Fall 2020 Planning Update 5.20 - from President Gregory L. Fenves and Interim President Designate Jay Hartzell 
21-May-20,Austin,"Second Phase of Financial Mitigation Measures - from President Gregory L. Fenves and Interim President Designate Jay Hartzell 

Leadership is grateful for the hard work of Faculty and Staff since the COVID-19 Crisis began for us in March. Weve experienced both increased costs due to the shifts in how we are teaching and are facing declines in expected future revenue. Because of our current financial outlook, the university is taking a phased financial approach.

In April we implemented a first phase of measures.

Canceled planned 2020-21 centrally funded merit pool

Limited new hires

Limited large expenditures to only essential needs

Now we are moving to second phase:

Revenue-generating units will now be directed to develop new financial plans with the Provost and CFOs offices, to contain costs where needed

Furloughs or permanent reductions in force will be likely for specific units where revenues have declined Will likely include furloughs or permanent reductions in force. Additional information will be provided by departmental leadership to staff members.

Emergency leave was extended, but starting June 1 emergency leave will no longer be an option in most cases and those using emergency leave will need to review work options with units and/or begin using paid-leave accruals

The University of Texas has been through hard times before and weve always come through them with a strengthened sense of purpose and a dedication to our world-changing mission. Leadership thanks you for your understanding and commitment.

Message to UT Community: Notification of COVID-19 Cases"
