date,message,school
12-Mar-20,"Florida State University continues to monitor the COVID-19 Coronavirus situation closely. At this time, there are no reported cases on campus or in Tallahassee and Leon County. There is no immediate risk for the FSU campus. The University shifted to online courses as a mitigation strategy to reduce the amount of people on campus. This was a crucial preventative measure due to spring break and the various travel plans of our students. Faculty and staff who travel to impacted areas during this time, should also follow recommendations to self-isolate. However, it is strongly recommended that all faculty, staff, and students refrain from domestic and international travel except for emergency purposes.

Being Prepared

It is important for all employees to be prepared for remote work in the event of an outbreak. However, because there are currently no reported cases of COVID-19 in the area, employees are expected to adhere to their normal work hours and locations, whenever possible. If there are individual circumstances that warrant an employee working remotely, contact the Office of Human Resources. These situations will be addressed on a case-by-case basis. This is an evolving situation and procedures will be updated based on guidance from the Centers for Disease Control  (CDC), the Florida Department of Health  (FDOH), and World Health Organization  (WHO). For the most up-to-date announcements regarding the Universitys response to COVID-19, please refer to the FSU Coronavirus page.

We strongly recommend you formulate a plan in case you are required to self-quarantine for a 14-day period for any reason. If you travel to any other area with an outbreak, contact the Office of Human Resources if you need to self-quarantine or self-isolate.

FSU Workplace Policies

Faculty and Staff play an important role in helping transition coursework to online content and continuing the operations of the institution. Understandably, there are many questions about how preventative self-quarantine and the possibility of remote work and moving classes online, impact existing Human Resources Policies. The Office of Human Resources has provided specific guidance for faculty and staff questions related to our policies. The Coronavirus Workplace Guidance page and FAQs provide full details to assist faculty and staff during this time.

Resources

In an effort to better assist employees who have questions during this time, we have created a Human Resources Coronavirus Task Force. If you have questions, please refer to the contacts listed below.

HR Coronavirus Task Force Contacts
General Questions	Renisha Gibbs	(850) 644-8082	rgibbs@fsu.edu 
General Staff Issues	Tracey Pearson
Back-up contact: Julie Ritter	(850) 644-3694
(850) 645-2733	tvpearson@fsu.edu 
jritter@fsu.edu 
General Faculty Issues	Rebecca Peterson
Back-up contact: Tiffany Ward	(850) 645-2202
(850) 644-0184	rpeterson@fsu.edu 
tnward@fsu.edu 
Payroll Questions	Phaedra Harris	(850) 644-7705	pharris@fsu.edu 
Attendance & Leave Questions	Christine Conley	(850) 644-1978	caconley@fsu.edu 
Communications	Shelley Lopez	(850) 644-6602	s.lopez@fsu.edu 
The Employee Assistance Program (EAP) is a useful resource for confidential professional and personal support and can be reached at (850) 644-2288.

For questions regarding students, please contact Tyler Shannon (850) 644-9555. For Academic concerns, please contact the Office of the Provost (850) 644-1816.

Final Thoughts

Our faculty and staff are important to us. We understand that this unprecedented event can cause a lot of questions and anxiety. We want you to know that your well-being is of the utmost importance and we are here to support you. We are doing everything in our power to circumvent any potential health risks while maintaining the Universitys daily operations. While this time is challenging, we appreciate your understanding and patience as we work through this critical time together.

Renisha Gibbs
Associate Vice President for Human Resources/F&A Chief of Staff

",Florida State University
12-Mar-20,"Statement from Florida State:

Tallahassee, Fla. Florida State Director of Athletics David Coburn announced Thursday that all FSU athletic competitions and events would be suspended until further notice.

The ACC presidents and athletic directors, with the advice of U.S. health officials, have determined that the immediate suspension of competitions, practices and recruiting is the best course of action in response to the coronavirus threat, said Coburn.  We regret having to take this action, but we believe it is in the best interest of our student-athletes and fans.  Moving forward, we will continue to closely monitor all developments as they occur.

*Information regarding the potential refunding of tickets will be made available in the coming days.

Statement from the Atlantic Coast Conference:

The Atlantic Coast Conference has suspended all athletic-related activities including all competition, formal and organized practice, recruiting and participation in NCAA championships until further notice. The decision was made following consultation with the leagues presidents and athletic directors to mitigate the further spread of COVID-19.

Statement from ACC Commissioner John Swofford:

This is uncharted territory and the health and safety of our student-athletes and institutions remains our top priority. This decision is aimed to protect from the further spread of COVID-19.

 

",Florida State University
12-Mar-20,"Due to concerns with the coronavirus, on March 11, 2020, Florida State University communicated new guidelines for university operations, including postponing or canceling external speakers and groups scheduled to perform on campus.

The universitys highest priority is the health and safety of students, staff and patrons.

Working closely with university leadership to enact these guidelines, Opening Nights is canceling the following 2019-20 season performances:

George Hinchliffes UKULELE ORCHESTRA OF GREAT BRITAIN, March 22
Chris Botti, March 30
The Second City, April 1
Dala, April 27
If you purchased tickets for any of these programs, you will automatically be mailed a refund check from Florida State University. Please allow up to 4 weeks to receive your refund.

We are currently working with Chain of Parks Art Festival to reschedule the Chain of Parks Presenting Artist: Michael Rosato for late June. More information will be available in the next few weeks from Opening Nights and Chain of Parks Art Festival.

If we can be of assistance or answer any questions, please contact Opening Nights at OpeningNights@fsu.edu  or me at mblachly@fsu.edu .

Thank you for your understanding and support of Opening Nights at Florida State University.

Sincerely,
Michael Blachly

",Florida State University
16-Mar-20,"UPDATED (March 19, 2020): The main campus Testing Center is closed and will remain closed through the end of the Spring 2020 semester. Instructors needing test proctoring services for their students can now use Honorlock. More information is available here.

To protect the welfare of our students, employees, and community during the COVID-19 emergency, the FSU Testing Center will be closed until at least April 6, 2020. In the meantime, we will continue to monitor the advice of local and federal health officials and work closely with our university administration before reopening.

All appointments scheduled through April 3, 2020, have been canceled.
At this time, we are not rescheduling appointments.
We are in the process of coordinating alternatives to in-person proctoring (including alternative strategies and remote proctoring for all local and remote students) and will communicate details as soon as possible.
Instructors: During the transition, we encourage you to explore alternative assessment strategies  and visit our odl.fsu.edu/testing page for updates.

Students: Please watch for proctored testing information from your instructor(s) and visit our distance.fsu.edu/testing page for updates.
",Florida State University
16-Mar-20,"The University continues to monitor the impacts of COVID-19 to our work, educational, and research environment. Florida State University is open and fully operational. At this time, there are still no reported cases of COVID-19 on campus or in Leon County.

Due to the statewide closure of all K-12 schools and guidance from health officials, effective Tuesday, March 17, we are encouraging employees whose job duties are conducive to remote work, to do so with appropriate approval. Departments may not shut down and are expected to remain open with the appropriate coverage (with full-time salaried employees) to ensure the University remains fully operational. Employees must still be able to perform the essential functions of their respective positions, remotely or in person. Special consideration should be given to employees with underlying health issues that may increase the severity of infection should they come in contact with COVID-19.

For employees who are not able to perform their essential job functions remotely, we ask that departments and supervisors be flexible with leave approvals when necessary when personal circumstances warrant. Departments are advised to develop a temporary schedule to rotate shifts for employees who need to be on campus to perform their work duties or keep the department operational to promote social distancing. In addition, departments such as FSUPD, Emergency Management, Facilities, Environmental Health and Safety, Health and Wellness, Human Resources, Controllers Office, Procurement, University Libraries, Housing, Information Technology Services, and Campus Recreation are considered essential and should ensure the appropriate on-campus coverage to support institutional needs.

Human Resources will temporarily remove any childcare requirements for remote work and provide automatic, immediate approval upon receipt of the completed Temporary Remote Work Guidelines Acknowledgement . While some employees will have the option to work from home, please remember that minor children should not be on campus. The guidelines regarding minors in the workplace are available in the FSU & You  handbook.

Additional information on the University Temporary Remote Work Policy Guidelines (including eligible and ineligible positions) and instructions for coordinating with Human Resources can be found here.

The University is working hard to remain flexible as we continue to follow the guidance of health professionals. It remains our paramount goal to keep our entire campus community safe by proactively mitigating risk to our employees. We also want to provide employees with the support they need to continue their daily job functions while being able to care for family needs. We will continue to evaluate and monitor this dynamic situation and communicate accordingly.

For questions regarding COVID-19 Policy Guidance, click here. For FAQs, click here. Please continue to monitor the University Coronavirus page.

",Florida State University
16-Mar-20,"The Ringling is committed to doing our part to safeguard the health and well-being of our visitors, staff, and volunteers. We share a responsibility with all institutions and members of our community to help mitigate the spread of the coronavirus (COVID-19) and have made the difficult decision that The Ringling will close temporarily effective March 16, 2020 at 5 p.m.

We will monitor the situation and announce when we will reopen at a future date. We have carefully considered this decision, and it is in line with other arts and cultural institutions across the country and our region. The Ringling estate serves as a place of education, inspiration, and respite for our visitors. We are saddened that we will not be able to provide that to our community at this challenging time. Still, we invite you to follow our social media channels, where we will continue to share the beauty of our collections and any updates as they become available. We thank you for your continued support of The Ringling and look forward to welcoming you back as soon as possible.

For a full list of canceled programs, performances, events and guided tours check here . Updates will be posted as they become available.

Read The Ringlings response to the novel coronavirus (COVID-19) 

We strongly encourage you to stay healthy, practice adequate hand-washing & other preventative strategies, and keep informed about this important health issue. You can visit the following sites to keep informed:

FSU Coronavirus FAQ: https://fsu.edu/coronavirus/
Center for Disease Control (CDC): https://www.cdc.gov/ 
World Health Organization (WHO): https://www.who.int/ 

",Florida State University
17-Mar-20,"In accordance with the announcement made by the Atlantic Coast Conference earlier today, Florida State Athletics and Seminole Boosters have announced several recent developments, including the cancelation of all spring sports seasons, cancelation of the spring football game and an extension of the deadline to renew 2020 FSU football season tickets.  These changes are necessitated by the best practices for limiting the spread of the coronavirus.

Speaking for both Athletics and Seminole Boosters, we are taking important steps to ensure the health and safety of all citizens, said FSU Director of Athletics David Coburn. It is clear that discouraging gatherings of more than 10 people is essential in limiting the spread of the virus.

Florida State has canceled its annual spring football game along with the post-game concert, all spring sports seasons and athletics-related banquets and award ceremonies through the spring semester.

Seminole Boosters have canceled the annual Spring Tour featuring head football coach Mike Norvell and all other events scheduled through April.

The priority deadline for ticket holders to reserve seats for the 2020 football season has been extended to May 1. Payment plans are still available on season tickets through May 1 and on Booster memberships through August 31.

Fans who have already purchased tickets to the spring football game, as well as Seminole baseball and softball games will be contacted with options to refund or donate the value of their tickets with a deadline to respond by March 23. Also, the Topgolf Live at Doak Campbell Stadium event scheduled for April 23-26 has been postponed.

For more information, visit seminoles.com .


",Florida State University
17-Mar-20,"The health and well-being of our university students, faculty and staff is of utmost importance. In accordance with interim guidelines issued by the Centers for Disease Control and Prevention recommending that in-person events consisting of 10 people or more be canceled or postponed to reduce introduction of the virus into new communities and to slow the spread of infection in communities already affected by the virus, the State University System directs all state universities to take the following actions to minimize the health and safety risks to students, faculty, staff.  This policy shall be in effect until May 3, 2020 and will be under continual review.  Please stay tuned for any updates.",Florida State University
17-Mar-20,"University remains open for business; coursework resumes online as scheduled on Monday   
This message to all students, faculty and staff has been approved by FSU President John Thrasher. 

Florida State University will follow the direction of Gov. Ron DeSantis and the State University System of Florida (SUS) by extending the previously announced period of online instruction for all academic courses through the remainder of the spring semester. This move to online instruction includes the FSU Panama City campus. 

These steps are necessary, and, as disappointing as they may be, are in the best interest of our entire community. All of the universitys immediate efforts continue to be focused on supporting our faculty, staff and students. 

At this time, there are still no reported cases of COVID-19 at Florida State University or in Leon County. 

Tuesday, the State University System of Florida directed all state universities to extend remote instruction through the end of the spring semester. The SUS also encouraged all students who can return home to do so. 

In addition, the State University System announced all traditional on-campus commencement ceremonies will not be held as scheduled and directed each university to develop an alternate schedule or method of delivery.  

President Thrasher and the entire administration recognize that commencement is a joyous time for our students and their families. The university is working to develop an alternative commencement plan to celebrate all of our deserving graduates impacted this spring. Details will be announced at a later date. 

Florida State University is on spring break this week. As the university previously announced, academic courses will resume after spring break via distance learning, beginning Monday, March 23. FSU is prepared to finish the spring semester via distance learning and other alternative methods as directed. 

While university administrators strongly recommend students follow the SUS guidance to return home if possible, residence halls at Florida State remain open to those student residents who previously opted to stay on campus during spring break.  

Those students will be allowed to remain in the residence halls through the end of the spring semester. However, they will not be allowed to return to their residence hall if they travel away from Tallahassee for any reason before the end of the semester. 

Students who departed Tallahassee for spring break should not return to campus for any reason until further notice. Specific instructions for the retrieval of personal belongings from campus and residence hall move-out will be announced at a later date. 

Students who choose to leave campus should take with them any and all belongings. 

FSU administrators emphasized the spring semester is not over, and students are expected attend their classes online beginning Monday, March 23, for the remainder of the semester. 

Faculty and staff are expected to report to work as normal in their regularly assigned work locations. Florida State is encouraging employees whose job duties are conducive to remote work, to do so with appropriate approval. 

Florida States highest priority remains the health and safety of our students, faculty and staff. University officials will continue to proactively monitor and follow guidance from the Centers for Disease Control and Prevention (CDC), World Health Organization (WHO), Florida Department of Health and other medical authorities. 

Administrators understand our students and families have a lot of questions, and they are working to quickly address the issues and questions that will naturally follow. For students currently in campus housing, the university will provide additional guidance as soon as possible.  

FSU will continue to do all it can operationally, academically and morally to support our students, faculty and staff. 

For updates, visit fsu.edu/coronavirus.

",Florida State University
19-Mar-20,"Across the nation, there are college students experiencing food insecurity. Its an issue that Florida State Universitys Food for Thought Pantry has been combating since 2009 and continuously works to eradicate, especially during these challenging times.

The Food for Thought Pantry provides a place for students to collect nonperishable, refrigerated and frozen food items. A vital on-campus resource, the Pantry is expecting an increase in visits by students who have elected to stay in residence halls through spring break and the remainder of the spring semester.

Barring a total university closure, the Food for Thought Pantry will continue to receive donations. Non-perishable items, such as canned meats, soup, cereal, boxed meals, granola bars, peanut butter and jelly are needed to stock the Pantry, as well as donations of refrigerated items, frozen foods, snack foods and fresh fruits and vegetables that dont necessarily require refrigeration.

Beginning Tuesday, March 24, any unopened, non-expired donations can be delivered to Case Management Services on Tuesdays and Fridays between 10 a.m. and 1 p.m. by individuals who have not left the greater Tallahassee area. Staff members will be prepared to receive the items in a tent outside the College of Motion Picture Arts.

To align with best social distancing practices, patrons can elect to send donations via the Food for Thought Pantrys Amazon Wish List  or send a monetary donation through the FSU Foundations donation form at dsst.fsu.edu.

Students who have traveled outside of Tallahassee will be asked not to utilize the Food for Thought Pantry until further notice. For more information on this university-wide policy, visit news.fsu.edu. Students who are unable to visit the Food for Thought Pantry should consider referencing this list of pantry referrals compiled by Second Harvest: List of Local Pantries. 

Until in-person classes resume, The Food for Thought Pantry will be open from 10 a.m. 1 p.m. Tuesdays and Fridays by appointment only. Students can review relevant policies and sign up for an appointment slot via a Google Form that is linked at dsst.fsu.edu. Please note that utilization policies are liable to change as the Division of Student Support and Transitions receives new information.

The Food for Thought Pantry is located in University Center A, Suite 4148 and will be administering bags of food in front of the College of Motion Picture Arts. Students are asked to restrict their visits to their appointment times and can expect to present their current FSUCard.

For more information, visit dsst.fsu.edu or call (850) 644-2428.

",Florida State University
